StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM14	 17:30:10.771	0.5454	0.5200	0.5645	-23.4375	9.5825	8.3008	46.1865	-35.0903	130.6989	33.2000	109	-377	80	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.774	0.6802	0.5869	0.5029	-28.3203	15.8081	13.7329	49.1583	-39.0454	130.0726	34.3300	170	-307	100	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.774	0.6836	0.5952	0.4951	-28.3203	15.8081	13.7329	49.1583	-39.0454	130.0726	34.4000	170	-307	100	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.780	0.5405	0.5161	0.5889	-22.2168	7.2021	8.4839	46.1865	-35.0903	130.6989	33.2000	108	-376	78	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.783	0.5376	0.5156	0.5933	-21.7285	5.6763	8.7280	45.7581	-35.1178	131.0229	33.3200	108	-376	77	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.789	0.5366	0.5132	0.5991	-21.1182	3.9063	8.5449	45.6262	-35.1343	131.1163	33.3900	108	-375	75	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.795	0.5327	0.5103	0.6113	-20.9351	2.1362	9.0942	45.4999	-35.1617	131.2042	33.3900	107	-376	75	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.798	0.5322	0.5107	0.6182	-21.7896	-2.2583	12.3291	45.3735	-35.2002	131.2866	33.3900	107	-376	74	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.802	0.5352	0.5156	0.6274	-22.4609	-4.3945	14.5264	45.1044	-35.3210	131.4569	33.0700	107	-376	74	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.808	0.5400	0.5146	0.6318	-22.8882	-6.2256	16.4795	44.9670	-35.4034	131.5448	33.1300	106	-376	72	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.814	0.5503	0.5166	0.6372	-23.8647	-8.7280	18.3716	44.8297	-35.4968	131.6327	33.3900	105	-376	71	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.816	0.4038	0.6865	0.5166	-34.2407	6.9580	6.7139	53.8660	-22.4286	123.5413	33.4500	162	-358	126	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
